ticker,underlying_price,date,expiration,dte,option_type,strike,bid,ask,market_mid,last_price,market_iv,black_scholes_iv,american_model_iv,forecast_volatility,bs_market_iv_fair_value,bs_forecast_vol_fair_value,american_market_iv_fair_value,american_forecast_vol_fair_value,selected_model_fair_value,early_exercise_premium,price_edge_bs,price_edge_american,edge_after_spread_bs,edge_after_spread_american,vol_edge,implied_variance,forecast_variance,variance_edge,delta,gamma,theta,vega,rho,american_delta,american_gamma,spread,spread_pct,volume,open_interest,model_used,model_reason,model_confidence,pricing_warning,data_quality_warning,forecast_model_used,lambda_used,weights_used,forecast_as_of,forecast_horizon,spot,rate,dividend,option_style,style_verified,instrument_type,dividend_data_available,research_direction,edge_after_bid_ask,edge_after_bid_ask_pct,liquidity_pass,composite_score,research_bucket,contract_rank,future_realized_vol,direction_correct_vs_market_iv,dollar_gamma,gamma_weighted_edge,vega_normalized_edge,gamma_weighted_edge_contract,contract_multiplier,candidate_side,moneyness,log_moneyness,moneyness_bucket,dte_bucket,atm_iv,contract_iv_minus_atm_iv,iv_skew_slope_per_10pct_moneyness,atm_iv_1d,atm_iv_2d,atm_iv_5d,atm_iv_10d,term_spread_2d_minus_1d,term_spread_5d_minus_2d,term_spread_10d_minus_5d,iv_percentile,iv_percentile_observations,historical_bucket_iv_median,iv_minus_historical_bucket_median,surface_context_pass,surface_context_status,black_scholes_no_dividend_market_iv_fair_value,binomial_market_iv_fair_value,trinomial_market_iv_fair_value,approximation_market_iv_fair_value,binomial_forecast_vol_fair_value,trinomial_forecast_vol_fair_value,approximation_forecast_vol_fair_value,binomial_american_iv,trinomial_american_iv,selected_model_iv,iv_solver_status,iv_solver_warning,tree_early_exercise_premium,tree_model_difference,tree_convergence_status,price_edge,model_fair_value,tree_steps_used,black_scholes_runtime_ms,binomial_runtime_ms,trinomial_runtime_ms,approximation_runtime_ms,selected_model_runtime_ms,market_iv_fair_value,forecast_vol
SPY,771.55,2026-08-05,2026-08-10,5,call,776,2.11,2.13,2.12,,10.6171,10.658542580576288,10.62592342701842,11.66128237590206,2.1063689381398945,2.4525922647987386,2.117088117385992,2.461282696933914,2.4525922647987386,0.008690432135175286,0.3325922647987385,0.3412826969339138,0.3225922647987387,0.331282696933914,1.044182375902059,0.011272281241,0.0135985506650524,-0.0023262694240523997,0.33457963296762444,0.03797634016746548,-0.36774955701347456,0.32879432108550694,0.03507377354493572,0.33462647757786435,0.038095197515959446,0.020000000000000018,0.9433962264150951,2076,1820,black_scholes_dividend_adjusted,Black-Scholes selected because American early-exercise premium was negligible,0.9315249999999999,option style inferred from configurable ticker map for SPY; continuous dividend yield used; no discrete ex-dividend schedule was supplied,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.3225922647987387,15.145176751114494,True,0.9672833207070707,A - strongest research candidate,1,,,11303.456423713638,-0.3602039049944345,1.011551123208858,-36.02039049944345,100.0,long_vol,1.0057676106538787,0.005751041666005066,atm,5,11.0343,-0.41719999999999935,-6.17418751960299,,,11.0343,,,,,9.090909090909092,99,16.40517201978713,-5.78807201978713,True,confirmed relative to historical bucket,2.1458859172547022,2.117088117385992,2.106619290134558,2.1063689381398945,2.461282696933914,2.4583624243487603,2.4525922647987386,10.62592342701842,10.656776917683011,10.658542580576288,converged,,0.0,0.0029202725851535938,stable,0.3325922647987385,2.4525922647987386,75,0.14880008529871702,8.850299986079335,2.13789998088032,5.795400007627904,0.14880008529871702,2.1063689381398945,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,call,775,2.48,2.5,2.49,,10.6767,10.718360855972822,10.746230482110011,11.66128237590206,2.4757466055498867,2.8140619548010477,2.4671423867202846,2.808546200608458,2.8140619548010477,0.0,0.3240619548010475,0.31854620060845784,0.3140619548010477,0.30854620060845805,0.9845823759020593,0.011399192289,0.0135985506650524,-0.0021993583760523995,0.37385240995259567,0.03928774681351886,-0.38604843099522523,0.3420577646464966,0.03917398360183224,0.3732080360380403,0.03961372820669724,0.020000000000000018,0.8032128514056232,3478,1419,black_scholes_dividend_adjusted,Black-Scholes selected because American early-exercise premium was negligible,0.9350499999999999,option style inferred from configurable ticker map for SPY; continuous dividend yield used; no discrete ex-dividend schedule was supplied,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.3140619548010477,12.56247819204191,True,0.9293282575757575,A - strongest research candidate,2,,,11693.78966309546,-0.35231279785375297,0.9473895590002259,-35.2312797853753,100.0,long_vol,1.0044715183721082,0.004461550836133361,atm,5,11.0343,-0.3575999999999997,-6.17418751960299,,,11.0343,,,,,10.1010101010101,99,16.40517201978713,-5.72847201978713,True,confirmed relative to historical bucket,2.5198802563626828,2.4671423867202846,2.476656006993025,2.4757466055498867,2.808546200608458,2.8071705938983396,2.8140619548010477,10.746230482110011,10.716418655119387,10.718360855972822,converged,,0.0,0.0013756067101184932,stable,0.3240619548010475,2.8140619548010477,75,0.20220002625137568,7.991899969056249,2.6762000052258372,4.549400066025555,0.20220002625137568,2.4757466055498867,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,call,774,2.9,2.91,2.905,,10.751199999999999,10.792023735227136,10.75918808683167,11.66128237590206,2.890634741975987,3.2114697558920966,2.9021656617455127,3.2249095765035354,3.2114697558920966,0.01343982061143878,0.3064697558920968,0.3199095765035356,0.30146975589209646,0.31490957650353524,0.9100823759020606,0.011558830143999999,0.0135985506650524,-0.002039720521052401,0.41419944870735936,0.0401326128612773,-0.4013606259184934,0.3518517113434357,0.04338149998742289,0.4141443074810243,0.04026974445530611,0.010000000000000231,0.3442340791738462,1383,903,black_scholes_dividend_adjusted,Black-Scholes selected because American early-exercise premium was negligible,0.9265,option style inferred from configurable ticker map for SPY; continuous dividend yield used; no discrete ex-dividend schedule was supplied,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.30146975589209646,10.359785425845239,True,0.8546583333333333,A - strongest research candidate,3,,,11945.259565476788,-0.33376700089041766,0.8710196540523788,-33.37670008904177,100.0,long_vol,1.0031754260903376,0.0031703950725133117,atm,5,11.0343,-0.283100000000001,-6.17418751960299,,,11.0343,,,,,11.11111111111111,99,16.40517201978713,-5.6539720197871315,True,confirmed relative to historical bucket,2.939507884477962,2.9021656617455127,2.8966957003896376,2.890634741975987,3.2249095765035354,3.217829181724106,3.2114697558920966,10.75918808683167,10.774721748192473,10.792023735227136,converged,,0.0,0.007080394779429344,stable,0.3064697558920968,3.2114697558920966,75,0.14979997649788857,8.968599955551326,2.294599893502891,3.572199959307909,0.14979997649788857,2.890634741975987,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,call,773,3.35,3.37,3.36,,10.8108,10.863308385009798,10.865407309536831,11.66128237590206,3.341206411990356,3.645755292578883,3.340695574443099,3.6412729523986145,3.645755292578883,0.0,0.2857552925788833,0.2812729523986146,0.2757552925788831,0.2712729523986144,0.8504823759020592,0.011687339664000002,0.0135985506650524,-0.0019112110010523972,0.45488445576214004,0.040597861726778,-0.41225000740108514,0.35790377908381243,0.04761984868921764,0.4547420274601751,0.04087449200881808,0.020000000000000018,0.5952380952380958,1387,850,black_scholes_dividend_adjusted,Black-Scholes selected because American early-exercise premium was negligible,0.9307749999999999,option style inferred from configurable ticker map for SPY; continuous dividend yield used; no discrete ex-dividend schedule was supplied,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.2757552925788831,8.182649631420864,True,0.7909831944444444,B - watchlist / needs trigger,4,,,12083.738425055646,-0.3163640248192591,0.798413733742572,-31.636402481925913,100.0,long_vol,1.0018793338085672,0.001877570070208208,atm,5,11.0343,-0.2234999999999996,-6.17418751960299,,,11.0343,,,,,11.11111111111111,99,16.40517201978713,-5.59437201978713,True,confirmed relative to historical bucket,3.3948560836452657,3.340695574443099,3.3389901339591783,3.341206411990356,3.6412729523986145,3.6461512997782513,3.645755292578883,10.865407309536831,10.868957816718243,10.863308385009798,converged,,0.0,0.0048783473796367716,stable,0.2857552925788833,3.645755292578883,75,0.1501999795436859,8.207799983210862,4.350799950771034,3.624300006777048,0.1501999795436859,3.341206411990356,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,put,776,6.31,6.42,6.365,,10.8555,10.899377462885216,10.760101634745855,11.66128237590206,6.35050913942365,6.618186059190691,6.396261450796944,6.660300834912575,6.660300834912575,0.042114775721883824,0.2531860591906909,0.29530083491257475,0.1981860591906912,0.24030083491257503,0.8057823759020604,0.011784188025,0.0135985506650524,-0.0018143626400523999,-0.6617450059612878,0.037294126565032566,-0.3203751772928072,0.3301380358343057,-0.07081094088888429,-0.6667132615310456,0.03799044546860958,0.11000000000000032,1.7282010997643413,1373,246,binomial_american_crr,American CRR selected because same-lattice early-exercise premium exceeded the materiality threshold,0.934075,option style inferred from configurable ticker map for SPY; early exercise premium is material,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.24030083491257503,3.743003659074377,True,0.7479663762626262,B - watchlist / needs trigger,5,,,11100.399159828807,-0.2758924592501703,0.8944768637951929,-27.589245925017032,100.0,long_vol,1.0057676106538787,0.005751041666005066,atm,5,11.0343,-0.17880000000000074,-6.17418751960299,,,11.0343,,,,,9.090909090909092,99,15.016053951568905,-4.160553951568906,True,confirmed relative to historical bucket,6.273125817295011,6.396261450796944,6.386367471634795,6.371998505234202,6.660300834912575,6.655721221939992,6.638114999677858,10.760101634745855,10.791538044747558,10.760101634745855,converged,,0.03342434359000812,0.004579612972582581,stable,0.29530083491257475,6.660300834912575,75,0.15950005035847425,12.342700036242604,2.7935999678447843,4.737999988719821,12.342700036242604,6.35050913942365,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,call,772,3.85,3.87,3.86,,10.8853,10.946242444108124,10.921228648109462,11.66128237590206,3.838049614960937,4.117546705208099,3.847002316317598,4.1277080244462585,4.117546705208099,0.01016131923815955,0.2575467052080991,0.26770802444625863,0.24754670520809885,0.2577080244462584,0.7759823759020588,0.011848975609000001,0.0135985506650524,-0.0017495750560523986,0.49566104432549196,0.040576649001111645,-0.41964613482910645,0.3601818895017578,0.051861538237585256,0.4954975460982838,0.04075573932115265,0.020000000000000018,0.5181347150259072,2633,737,black_scholes_dividend_adjusted,Black-Scholes selected because American early-exercise premium was negligible,0.9298,option style inferred from configurable ticker map for SPY; continuous dividend yield used; no discrete ex-dividend schedule was supplied,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.24754670520809885,6.396555690131753,True,0.7326011111111113,B - watchlist / needs trigger,6,,,12077.424569661986,-0.28945699682787646,0.7150462383446466,-28.945699682787644,100.0,long_vol,1.0005832415267968,0.000583071507562468,atm,5,11.0343,-0.14899999999999913,-6.17418751960299,,,11.0343,,,,,11.11111111111111,99,16.40517201978713,-5.51987201978713,True,confirmed relative to historical bucket,3.8964832123606925,3.847002316317598,3.842041930621179,3.838049614960937,4.1277080244462585,4.121347026102461,4.117546705208099,10.921228648109462,10.935189304195994,10.946242444108124,converged,,0.0,0.006360998343797775,stable,0.2575467052080991,4.117546705208099,75,0.15169999096542597,11.36400003451854,2.141100005246699,3.900800016708672,0.15169999096542597,3.838049614960937,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,put,775,5.69,5.78,5.735,,10.915099999999999,10.948635821835222,10.889021063904995,11.66128237590206,5.723500354734881,5.980173423372605,5.743541099356633,6.003564164834519,6.003564164834519,0.02339074146191411,0.24517342337260484,0.26856416483451895,0.2001734233726049,0.22356416483451902,0.7461823759020607,0.011913940800999997,0.0135985506650524,-0.0016846098640524027,-0.6232278008894292,0.03851890793023261,-0.33845929000540564,0.34285222772677143,-0.06665409727821561,-0.6285298450480701,0.039388426084692736,0.08999999999999986,1.5693112467305992,2418,138,binomial_american_crr,American CRR selected because same-lattice early-exercise premium exceeded the materiality threshold,0.9360999999999999,option style inferred from configurable ticker map for SPY; early exercise premium is material,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.22356416483451902,3.8678921251646887,True,0.6591787373737373,B - watchlist / needs trigger,7,,,11464.948843370341,-0.26457487551229947,0.7833233769988663,-26.457487551229946,100.0,long_vol,1.0044715183721082,0.004461550836133361,atm,5,11.0343,-0.11920000000000108,-6.17418751960299,,,11.0343,,,,,9.090909090909092,99,15.016053951568905,-4.100953951568906,True,confirmed relative to historical bucket,5.650644465075004,5.743541099356633,5.752392321597414,5.741955567035244,6.003564164834519,6.0018725510589155,5.997553992512931,10.889021063904995,10.863093318373785,10.889021063904995,converged,,0.02890649565776826,0.0016916137756037841,stable,0.26856416483451895,6.003564164834519,75,0.14189991634339094,8.270799997262657,3.7449999945238233,7.2994999354705215,8.270799997262657,5.723500354734881,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,put,774,5.1,5.19,5.145,,10.9747,11.000415206216925,10.89391009817022,11.66128237590206,5.135942502137766,5.378098898643316,5.1735737476759835,5.416366675658182,5.416366675658182,0.038267777014866056,0.23309889864331623,0.2713666756581823,0.18809889864331542,0.22636667565818147,0.6865823759020593,0.012044404009,0.0135985506650524,-0.0015541466560523992,-0.5838280564253748,0.039354668342925024,-0.3530504555497578,0.3522039361475524,-0.06240938074481311,-0.5877561112096258,0.03996632366164612,0.09000000000000075,1.7492711370262537,1888,196,binomial_american_crr,American CRR selected because same-lattice early-exercise premium exceeded the materiality threshold,0.930175,option style inferred from configurable ticker map for SPY; early exercise premium is material,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.22636667565818147,4.361592979926425,True,0.6547158207070707,B - watchlist / needs trigger,8,,,11713.708501722751,-0.24938110819075301,0.7704816664641018,-24.938110819075302,100.0,long_vol,1.0031754260903376,0.0031703950725133117,atm,5,11.0343,-0.05959999999999965,-6.17418751960299,,,11.0343,,,,,9.090909090909092,99,15.016053951568905,-4.0413539515689045,True,confirmed relative to historical bucket,5.067714906158528,5.1735737476759835,5.166909400245375,5.151815434773206,5.416366675658182,5.408397678865501,5.393254286534522,10.89391009817022,10.912421291174226,10.89391009817022,converged,,0.02482795640670954,0.00796899679268126,stable,0.2713666756581823,5.416366675658182,75,0.15430001076310873,8.014199906028807,2.1184999495744705,4.352100077085197,8.014199906028807,5.135942502137766,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,call,771,4.38,4.41,4.395,,10.9747,11.014305378279893,10.994377074864751,11.66128237590206,4.3807920548317725,4.627142785547278,4.387906643388261,4.635439553083179,4.627142785547278,0.00829676753590114,0.2321427855472784,0.24043955308317955,0.21714278554727784,0.22543955308317898,0.6865823759020593,0.012044404009,0.0135985506650524,-0.0015541466560523992,0.5359392054551972,0.040084238036543825,-0.42349334453047655,0.35873320773351675,0.0560442605361816,0.5359338278504029,0.04028101367679925,0.03000000000000025,0.6825938566552958,1776,1015,black_scholes_dividend_adjusted,Black-Scholes selected because American early-exercise premium was negligible,0.934075,option style inferred from configurable ticker map for SPY; continuous dividend yield used; no discrete ex-dividend schedule was supplied,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.21714278554727784,4.923872688146889,True,0.598092638888889,B - watchlist / needs trigger,9,,,11930.861055220972,-0.25400421661366396,0.6471181940862429,-25.400421661366394,100.0,long_vol,0.9992871492450263,-0.0007131049538842731,atm,5,11.0343,-0.05959999999999965,-6.17418751960299,,,11.0343,,,,,11.11111111111111,99,16.40517201978713,-5.43047201978713,True,confirmed relative to historical bucket,4.44394786068159,4.387906643388261,4.385990326744164,4.3807920548317725,4.635439553083179,4.632288286432147,4.627142785547278,10.994377074864751,10.999818233981241,11.014305378279893,converged,,0.0,0.0031512666510318255,stable,0.2321427855472784,4.627142785547278,75,0.16449997201561928,12.288199970498681,2.2661000257357955,3.911099978722632,0.16449997201561928,4.3807920548317725,11.66128237590206
SPY,771.55,2026-08-05,2026-08-10,5,put,773,4.57,4.62,4.595,,11.0343,11.05285739477845,10.991897215315763,11.66128237590206,4.58835625649516,4.812902109509707,4.60996708914539,4.8312465354759135,4.8312465354759135,0.018344425966206224,0.21790210950970756,0.2362465354759138,0.1929021095097072,0.21124653547591343,0.6269823759020596,0.012175577649,0.0135985506650524,-0.0014229730160524,-0.5439523402361924,0.039786904487375326,-0.3638589645378137,0.35800593778208656,-0.05811983347475744,-0.5475977407160388,0.04049848811408055,0.04999999999999982,1.0881392818280702,3050,242,binomial_american_crr,American CRR selected because same-lattice early-exercise premium exceeded the materiality threshold,0.934825,option style inferred from configurable ticker map for SPY; early exercise premium is material,,har_rv,,,2026-08-04,5,771.55,3.78,1.11,american,False,etf,True,below-model,0.21124653547591343,4.572435832811979,True,0.5543170075757575,B - watchlist / needs trigger,10,,,11842.361299807113,-0.2308405558351883,0.6598955786585694,-23.084055583518833,100.0,long_vol,1.0018793338085672,0.001877570070208208,atm,5,11.0343,0.0,-6.17418751960299,,,11.0343,,,,,10.1010101010101,99,15.016053951568905,-3.981753951568905,True,confirmed relative to historical bucket,4.5248100176576145,4.60996708914539,4.608022254852099,4.602028103241728,4.8312465354759135,4.833861228809597,4.826114858964272,10.991897215315763,10.99814666486585,10.991897215315763,converged,,0.022826766149721678,0.002614693333683249,stable,0.2362465354759138,4.8312465354759135,75,0.1770999515429139,10.338300024159253,3.8376000011339784,4.155299975536764,10.338300024159253,4.58835625649516,11.66128237590206
