ticker,horizon,moneyness_bucket,model,observations,mse_variance,mae_variance,rmse_variance,mae_vol,rmse_vol,mean_qlike,best_model,is_best
SPY,1,all,gjr_garch,1094,0.008708781975466125,0.03215972268709989,0.09332085498679342,9.247512844341948,12.262357178861967,1.5493159967382335,gjr_garch,True
SPY,1,all,adaptive_ensemble,1094,0.00889778185510904,0.032521033996882436,0.09432805444356965,9.29035938982822,12.370429693355849,1.565041876874148,gjr_garch,False
SPY,1,all,simple_ensemble,1094,0.009139871500277497,0.03241133762444084,0.09560267517322671,9.251768813448376,12.460821305535445,1.6104984762599717,gjr_garch,False
SPY,1,all,garch_11,1094,0.009219974468017362,0.03289654513199351,0.09602069812294306,9.511324071087024,12.586849740185102,1.6008584389957887,gjr_garch,False
SPY,1,all,ewma,1094,0.009262760695390733,0.03364433612754078,0.09624323714106219,9.457518965936119,12.766818621572645,1.630814285895233,gjr_garch,False
SPY,1,all,optimized_blend,1094,0.009572932329451816,0.035021486922932166,0.09784136308050811,9.742814777803467,13.138760569598375,1.642794935995006,gjr_garch,False
SPY,1,all,sparse_blend,1094,0.00961668634725492,0.03529953859696863,0.09806470490066709,9.788996021204484,13.217122859130454,1.6509833221623085,gjr_garch,False
SPY,1,all,har_rv,1094,0.009619067110146404,0.029514619436109387,0.09807684288427317,8.350486210404082,12.49127682183923,3.3794283319487146,gjr_garch,False
SPY,1,all,realized_60,1094,0.009636309034906225,0.03478826984220594,0.09816470361034166,9.881421921590043,13.234576295647628,1.6823601708385116,gjr_garch,False
SPY,1,all,realized_20,1094,0.009712381310085075,0.034302171598961914,0.09855141455141612,9.459815239400896,12.940862731810979,1.681849360220638,gjr_garch,False
SPY,1,atm,realized_60,24,0.0014240275841131056,0.023657314789616645,0.03773629001522415,8.64832628241102,10.350520606650925,1.5229953187958403,realized_60,True
SPY,1,atm,garch_11,24,0.0015047071054674528,0.023846203498556318,0.038790554333077695,8.665301980971298,10.520107097405596,1.6915851639024224,realized_60,False
SPY,1,atm,simple_ensemble,24,0.0015207259693532573,0.022720362556744516,0.038996486628326624,8.269681395838854,10.35354969095727,1.7632469226514242,realized_60,False
SPY,1,atm,adaptive_ensemble,24,0.0015431854157826486,0.024231199069295106,0.0392833987300316,8.745263312943921,10.741218950214177,1.752531430286691,realized_60,False
SPY,1,atm,gjr_garch,24,0.0015482724150831292,0.02440083400163508,0.03934809290274599,8.795579673086008,10.790923007450777,1.753344253560952,realized_60,False
SPY,1,atm,ewma,24,0.001555823797274535,0.02326155781967026,0.03944393232519464,8.416968807045635,10.56795066366253,2.005805275912176,realized_60,False
SPY,1,atm,realized_20,24,0.0015623522391584608,0.023436842722170257,0.03952660166468224,8.457744713017723,10.542775526715738,1.967335391297767,realized_60,False
