model,horizon,observations,mae,rmse,mse_variance,variance_bias,mean_qlike,mz_intercept,mz_slope,mz_r_squared,directional_accuracy_vs_market_iv,directional_observations
adaptive_ensemble,1,1094,9.29035938982822,12.370429693355849,0.00889778185510904,-0.0005633517936356675,1.565041876874148,0.0025355643109375467,0.9328547163836288,0.0798222847497404,,0.0
adaptive_ensemble,2,1093,8.747565483185694,11.966898237683674,0.010794218034964833,-0.0018687895572675687,1.34403854690172,-0.005634114390124691,1.256106403031729,0.10050551336893243,,0.0
adaptive_ensemble,3,1092,6.7091178065719275,9.463742706632104,0.0050949250467488775,-0.001091817630854708,0.6739981480448733,-0.0031802913606877588,1.144382374046755,0.16896029162757664,,0.0
adaptive_ensemble,5,1090,5.449373613271654,8.131971128780888,0.0035900670340335535,-0.00131853808221278,0.4216247548163568,0.0029595521996591254,0.9443021624944303,0.15701448827640463,,0.0
adaptive_ensemble,10,1085,4.680476144286128,7.261187168312604,0.002270196830862798,-0.0015483048935594644,0.31308577166547263,0.010398015964579725,0.6949941425667292,0.13948968930401529,,0.0
best_model,1,1094,9.247163698993017,12.367563720085252,0.008848895889451043,-0.0009351843834057563,1.5798301341824934,0.003526843673934911,0.9106339292605872,0.08534640235253,,0.0
best_model,2,1093,8.838216758945162,12.0165707441028,0.010602669499329635,-0.0008551609605827605,1.3371554185359853,-0.00468703651796731,1.1828524482101936,0.1148828212632711,,0.0
best_model,3,1092,6.79003251482295,9.495755094722039,0.004968282587224006,-0.0003077653385957914,0.6743281324724857,-0.0023372743401185417,1.087085498168171,0.18802635510196875,,0.0
best_model,5,1090,5.535272069740475,8.185013987692356,0.0035151597206157558,-0.00028861279567939395,0.4202563069988019,0.0037512683268072214,0.8864432167857472,0.17658595616404582,,0.0
best_model,10,1085,4.802044165760321,7.474272051763616,0.0023618647808850437,-0.0016812811676547377,0.3365193458819642,0.01304723858638489,0.6064679801120825,0.13286888090793103,,0.0
