ticker,date,close,source
QQQ,2022-01-03,401.680000,robinhood_equity_day
QQQ,2022-01-04,396.470000,robinhood_equity_day
QQQ,2022-01-05,384.290000,robinhood_equity_day
QQQ,2022-01-06,384.020000,robinhood_equity_day
QQQ,2022-01-07,379.860000,robinhood_equity_day
QQQ,2022-01-10,380.110000,robinhood_equity_day
QQQ,2022-01-11,385.820000,robinhood_equity_day
QQQ,2022-01-12,387.350000,robinhood_equity_day
QQQ,2022-01-13,377.660000,robinhood_equity_day
QQQ,2022-01-14,380.010000,robinhood_equity_day
QQQ,2022-01-18,370.550000,robinhood_equity_day
QQQ,2022-01-19,366.480000,robinhood_equity_day
QQQ,2022-01-20,361.720000,robinhood_equity_day
QQQ,2022-01-21,351.690000,robinhood_equity_day
QQQ,2022-01-24,353.300000,robinhood_equity_day
QQQ,2022-01-25,345.110000,robinhood_equity_day
QQQ,2022-01-26,344.570000,robinhood_equity_day
QQQ,2022-01-27,341.100000,robinhood_equity_day
QQQ,2022-01-28,351.800000,robinhood_equity_day
QQQ,2022-01-31,363.050000,robinhood_equity_day
QQQ,2022-02-01,365.520000,robinhood_equity_day
QQQ,2022-02-02,368.490000,robinhood_equity_day
QQQ,2022-02-03,353.550000,robinhood_equity_day
QQQ,2022-02-04,358.010000,robinhood_equity_day
QQQ,2022-02-07,355.130000,robinhood_equity_day
QQQ,2022-02-08,359.120000,robinhood_equity_day
QQQ,2022-02-09,366.730000,robinhood_equity_day
QQQ,2022-02-10,358.430000,robinhood_equity_day
QQQ,2022-02-11,347.060000,robinhood_equity_day
QQQ,2022-02-14,347.490000,robinhood_equity_day
QQQ,2022-02-15,356.130000,robinhood_equity_day
QQQ,2022-02-16,356.040000,robinhood_equity_day
QQQ,2022-02-17,345.450000,robinhood_equity_day
QQQ,2022-02-18,341.510000,robinhood_equity_day
QQQ,2022-02-22,338.080000,robinhood_equity_day
QQQ,2022-02-23,329.420000,robinhood_equity_day
QQQ,2022-02-24,340.490000,robinhood_equity_day
QQQ,2022-02-25,345.770000,robinhood_equity_day
QQQ,2022-02-28,346.800000,robinhood_equity_day
QQQ,2022-03-01,341.490000,robinhood_equity_day
QQQ,2022-03-02,347.220000,robinhood_equity_day
QQQ,2022-03-03,342.260000,robinhood_equity_day
QQQ,2022-03-04,337.300000,robinhood_equity_day
QQQ,2022-03-07,324.860000,robinhood_equity_day
QQQ,2022-03-08,323.350000,robinhood_equity_day
QQQ,2022-03-09,334.990000,robinhood_equity_day
QQQ,2022-03-10,331.270000,robinhood_equity_day
QQQ,2022-03-11,324.400000,robinhood_equity_day
QQQ,2022-03-14,318.170000,robinhood_equity_day
QQQ,2022-03-15,328.150000,robinhood_equity_day
QQQ,2022-03-16,340.320000,robinhood_equity_day
QQQ,2022-03-17,344.440000,robinhood_equity_day
QQQ,2022-03-18,351.490000,robinhood_equity_day
